	Date	PX_LAST	PX_VOLUME	Valuation
PRDL US Equity	9/29/17	0.0001	32674415	3267.4415
PRDL US Equity	6/30/17	0.0001	347072733	34707.2733
PRDL US Equity	3/31/17	0.0001	7670170	767.017
PRDL US Equity	12/30/16	0.0001	11975070	1197.507
PRDL US Equity	9/30/16	0.0001	3252502	325.2502
PRDL US Equity	6/30/16	0.0001	1000639	100.0639
PRDL US Equity	3/31/16	0.0001	15551032	1555.1032
PRDL US Equity	12/31/15	0.0001	5389469	538.9469
PRDL US Equity	9/30/15	0.0001	17062939	1706.2939
PRDL US Equity	6/30/15	0.0001	240926771	24092.6771
PRDL US Equity	3/31/15	0.0001	67405385	6740.5385
PRDL US Equity	12/31/14	0.0001	194511376	19451.1376
PRDL US Equity	9/30/14	0.0001	881451117	88145.1117
PRDL US Equity	6/30/14	0.0001	5528904430	552890.443
PRDL US Equity	3/31/14	0.0002	3693587681	738717.5362
PRDL US Equity	12/31/13	0.0007	266659270	186661.489
PRDL US Equity	9/30/13	0.004	82846	331.384
PRDL US Equity	6/28/13	0.001	51252	51.252
PRDL US Equity	3/28/13	0.039	196059	7646.301
PRDL US Equity	12/31/12	0.15	19358	2903.7
PRDL US Equity	9/28/12	0.15	81921	12288.15
PRDL US Equity	6/29/12	0.15	1368363	205254.45
PRDL US Equity	3/30/12	0.225	1016511	228714.975
PRDL US Equity	12/30/11	0.6	1699148	1019488.8
PRDL US Equity	9/30/11	0.45	294959	132731.55
PRDL US Equity	6/30/11	0.75	2010697	1508022.75
PRDL US Equity	3/31/11	0.825	512435	422758.875
PRDL US Equity	12/31/10	1.35	481531	650066.85
PRDL US Equity	9/30/10	2.85	1833144	5224460.4
PRDL US Equity	6/30/10	10.8	1165309	12585337.2
PRDL US Equity	3/31/10	0.6	337788	202672.8
PRDL US Equity	12/31/09	0.975	377188	367758.3
PRDL US Equity	9/30/09	1.65	910320	1502028
PRDL US Equity	6/30/09	1.575	429326	676188.45
PRDL US Equity	3/31/09	1.2	94729	113674.8
PRDL US Equity	12/31/08	8.4	22177	186286.8
PRDL US Equity	9/30/08	1.2	5367	6440.4
PRDL US Equity	6/30/08	0.45	1190	535.5
PRDL US Equity	3/31/08	0.6	2713	1627.8
PRDL US Equity	12/31/07	0.6	4336	2601.6
PRDL US Equity	9/28/07	1.95	2504	4882.8
PRDL US Equity	6/29/07	3	4981	14943
PRDL US Equity	3/30/07	4.8	5792	27801.6
